,,,,,,Water Needs,,,,,Toxcicity,,,,Fun Fact
Common Name,Flowering / Foliage,Scientific name,Other names 1,Other names 2,Other names 3,Water,How Often,Light,Common issues,Fertilizer needs,Cat toxicity,cat_tox_desc,Dog toxicity,Dog_tox_desc,
Aloe Vera,Cactus / Succulent,Aloe barbadensis miller,,,,Low,Water deeply once every 7 days.,Bright and indirect,,,Mild,"Vomiting, diarrhoea, lethargy, depression, anorexia, tremors, change in urine colour",Mild ,"Vomiting, diarrhoea, lethargy, depression, anorexia, tremors, change in urine colour",
Aluminum Plant,Foliage,Pilea cadierei,,,,"High
",Water every two days keeping top 1/4 of soil moist. Mist every other day.,Summer - Partial Shade; Winter - Full Light,"Sensitive to hot or cold drafts
This plant needs 4 hours of soft light a day but no more or leaves will burn",,Non-toxic,,Non-toxic,,
Asparagus Fern,,Asparagus aethiopicus,asparagus grass,Foxtail fern,,"High
","
Water plant every two days keeping top two inches of soil moist.
Mist daily.",Partial to Full Shade,,,Non-toxic,,Non-toxic,,
Baby Rubber Plant,Cactus / Succulent,Peperomia obtusifolia,American rubber plant,Pepper face plant,,Low,Water once every 6 days.,Partial Shade and medium indirectd light,,,Mild,"Nausea, vomiting, depression, lack of coordination",Mild ,"Nausea, vomiting, depression, lack of coordination",
Boston Fern,Foliage,Nephrolepis exaltata,,,,"High
","Water every three days.
Mist every other day. ",Bright Indirect Light,,,Non-toxic,,Non-toxic,,
Elephant's Ear,Foliage,Alocasia amazonica,Amazon elephant's ear,African mask,,Medium,"Light watering and misting in the mornings every three days. 
",Bright Indirect Light,These plants do not like their leaves wet and are prone to root rot.,,Moderate,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Moderate,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",
Fiddle Leaf Fig,Foliage,Ficus lyrata,,,,Medium,"light water once a week, keeping no more than the top 1/4 inch moist.
Reduce watering in Winter. 
Mist leaves every two weeks.","Bright Indirect Light. 
Full morning sun. ","Prone to leaf browning and leaf loss when stressed, or humidity is too low.",,Mild,"Oral irritation, excessive drooling, and vomiting.",Mild ,"Oral irritation, excessive drooling, and vomiting.",
Golden Pothos,Foliage,Epipremnum aureum,Ceylon creeper,Hunter's robe,Devils ivy,Very Low,Water once every 6-7 days.,Bright Indirect Light,,,Moderate,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing.",Moderate,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing.",
Jade Plant,Cactus / Succulent,Crassula ovata,Money plant,,,Very Low,"Summer - water deeply once every 7-14 days. Soil should be completely dry between waterings. 
Winter - water once per month or less during dormancy.","4 hours of direct sunlight, daily.",Prone to root rot if watered too frequently.,,Mild,"Vomiting, depression, incoordination",Mild ,"Vomiting, depression, incoordination",
Maidenhair Fern,Foliage,Adiantum,,,,"High
","Water once every two days or lightly, daily. ",Bright Indirect Light,,,Non-toxic,,Non-toxic,,
Parlor Palm,Foliage,Chamaedorea elegans,,,,Very Low,Water once every 7 days. Soil should be dry between waterings.,Medium to Bright Inirect Light,,,Non-toxic,,Non-toxic,,Has air-purifying qualities
Peace Lily,Flower,Spathiphyllum,White sails,Spathe flower,,Medium,Water every 3 days keeping soil moist but not overly wet.,Bright Indirect Light,,,Mild,"Nausea, vomiting, and diarrhea.",Mild ,"Nausea, vomiting, and diarrhea.",
Pothos,,Epipremnum aureum,,,,Low,Water once every 7 days. Soil should be dry between waterings.,Bright Indirect Light,,,Moderate,"Vomiting, oral irritation and difficulty swallowing",Moderate,"Vomiting, oral irritation and difficulty swallowing",
Rubber Plant,Foliage,Ficus elastica,Rubber bush ,Rubber tree,,Medium,"Summer - water every three days
Winter - water once per week",Bright Indirect Light,scorched leaves from direct light or hot sunbeams.,,Mild,"Contact dermatitis from sap, nausea and vomiting from consumption",Mild,"Contact dermatitis from sap, nausea and vomiting from consumption",
Snake Plant,,Sansevieria trifasciata,,Mother in law's tongue,,Very Low,Water every 7-10 days. Soil should be dry between waterings.,"Partial Shade
Partial light",,,Mild,"Nausea, vomiting, and diarrhea.",Mild,"Nausea, vomiting, and diarrhea.",
Spider Plant,Foliage,Chlorophytum comosum,,,,Medium,Water once every 4-5 days,Moderate indirect sunlight.,scorched leaves from direct light or hot sunbeams.,,Non-toxic,,Non-toxic,,mildly hallucinagenic to cats
Monstera,,Swiss-cheese plant,Split-leaf Philodendron,,,Medium,"Water once every 5 days. Keep top two inches of soil moist.
Mist every day.",Moderate indirect sunlight.,,,,,,,Has air-purifying qualities
Umbrella Tree,Foliage,Schefflera arboricola,Umbrella Plant,Queensland Umbrella Tree,Octupus Tree,Very Low,Water once every 7 days. Soil should be dry between waterings.,Moderate indirect sunlight.,"Prone to fungal leaf spots.
Prone to root rot.",,Mild,mild vomiting and diarrhea,Mild,mild vomiting and diarrhea,
