name,Flowering / Foliage,latin_name,link,img_file,name2,name3,name4,water_lmh,water_desc,light,cat_tox,cat_tox_desc,dog_tox,dog_tox_desc
Aloe Vera,Cactus / Succulent,Aloe barbadensis miller,https://en.wikipedia.org/wiki/Aloe_vera,Aloe_Vera.jpeg,,,,Low,Water deeply once every 7 days.,Bright and indirect,Mild,"Vomiting, diarrhoea, lethargy, depression, anorexia, tremors, change in urine colour",Mild ,"Vomiting, diarrhoea, lethargy, depression, anorexia, tremors, change in urine colour"
Asparagus Fern,,Asparagus aethiopicus,https://en.wikipedia.org/wiki/Asparagus_aethiopicus,Asparagus_Fern.jpg,asparagus grass,foxtail fern,,"High
","
Water plant every two days keeping top two inches of soil moist.
Mist daily.",Partial to Full Shade,Non-toxic,,Non-toxic,
Baby Rubber Plant,Cactus / Succulent,Peperomia obtusifolia,https://en.wikipedia.org/wiki/Peperomia_obtusifolia,Baby_Rubber_Plant.png,American rubber plant,Pepper face plant,,Low,Water once every 6 days.,Partial Shade and medium indirectd light,Mild,"Nausea, vomiting, depression, lack of coordination",Mild ,"Nausea, vomiting, depression, lack of coordination"
Boston Fern,Foliage,Nephrolepis exaltata,https://en.wikipedia.org/wiki/Nephrolepis_exaltata,Boston_Fern.jpg,,,,"High
","Water every three days.
Mist every other day. ",Bright Indirect Light,Non-toxic,,Non-toxic,
Easter Lily,,Lilium longiflorum,https://en.wikipedia.org/wiki/Lilium_longiflorum,,,,,Low,Water deeply once every 7 days.,Bright Indirect Light,Potentially Fatal,"Vomiting, inappetence, lethargy, kidney failure, and death is possible. ",Mild ,"Vomiting, diarrhoea, lethargy, depression, anorexia, tremors, change in urine colour"
Fiddle Leaf Fig,Foliage,Ficus lyrata,https://en.wikipedia.org/wiki/Ficus_lyrata,Fiddle_Leaf_Fig.jpg,fiddle-leaf fig,,,Medium,"light water once a week, keeping no more than the top 1/4 inch moist.
Reduce watering in Winter. 
Mist leaves every two weeks.","Bright Indirect Light. 
Full morning sun. ",Mild,"Oral irritation, excessive drooling, and vomiting.",Mild ,"Oral irritation, excessive drooling, and vomiting."
Golden Pothos,Foliage,Epipremnum aureum,https://en.wikipedia.org/wiki/Epipremnum_aureum,Golden_Pothos.png,Ceylon creeper,hunter's robe,Devils ivy,Very Low,Water once every 6-7 days.,Bright Indirect Light,Moderate,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing.",Moderate,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing."
Jade Plant,Cactus / Succulent,Crassula ovata,https://en.wikipedia.org/wiki/Crassula_ovata,Jade_Plant.jpg,Money plant,,,Very Low,"Summer - water deeply once every 7-14 days. Soil should be completely dry between waterings. 
Winter - water once per month or less during dormancy.","4 hours of direct sunlight, daily.",Mild,"Vomiting, depression, incoordination",Mild ,"Vomiting, depression, incoordination"
Maidenhair Fern,Foliage,Adiantum,https://en.wikipedia.org/wiki/Adiantum,Maidenhair_Fern.jpg,,,,"High
","Water once every two days or lightly, daily. ",Bright Indirect Light,Non-toxic,,Non-toxic,
Parlor Palm,Foliage,Chamaedorea elegans,https://en.wikipedia.org/wiki/Chamaedorea_elegans,Parlor_Palm.jpg,,,,Very Low,Water once every 7 days. Soil should be dry between waterings.,Medium to Bright Inirect Light,Non-toxic,,Non-toxic,
